nohup: ignoring input
[1] order5big_0008: LINEAR (0.0s)  running={'LINEAR': 1}
[2] order5big_0016: LINEAR (0.0s)  running={'LINEAR': 2}
[3] order5big_0024: LINEAR (0.0s)  running={'LINEAR': 3}
[4] order5big_0032: THEOREM (60.4s)  running={'LINEAR': 3, 'THEOREM': 1}
[5] order5big_0040: THEOREM (60.2s)  running={'LINEAR': 3, 'THEOREM': 2}
[6] order5big_0048: LINEAR (0.0s)  running={'LINEAR': 4, 'THEOREM': 2}
[7] order5big_0056: LINEAR (0.0s)  running={'LINEAR': 5, 'THEOREM': 2}
[8] order5big_0064: THEOREM (60.3s)  running={'LINEAR': 5, 'THEOREM': 3}
[9] order5big_0072: LINEAR (0.0s)  running={'LINEAR': 6, 'THEOREM': 3}
[10] order5big_0080: LINEAR (0.0s)  running={'LINEAR': 7, 'THEOREM': 3}
[11] order5big_0088: LINEAR (0.0s)  running={'LINEAR': 8, 'THEOREM': 3}
[12] order5big_0096: LINEAR (0.0s)  running={'LINEAR': 9, 'THEOREM': 3}
[13] order5big_0104: THEOREM (60.1s)  running={'LINEAR': 9, 'THEOREM': 4}
[14] order5big_0112: LINEAR (0.0s)  running={'LINEAR': 10, 'THEOREM': 4}
[15] order5big_0120: THEOREM (60.4s)  running={'LINEAR': 10, 'THEOREM': 5}
[16] order5big_0128: LINEAR (0.0s)  running={'LINEAR': 11, 'THEOREM': 5}
[17] order5big_0136: LINEAR (0.0s)  running={'LINEAR': 12, 'THEOREM': 5}
[18] order5big_0144: LINEAR (0.0s)  running={'LINEAR': 13, 'THEOREM': 5}
[19] order5big_0152: THEOREM (60.2s)  running={'LINEAR': 13, 'THEOREM': 6}
[20] order5big_0160: LINEAR (0.0s)  running={'LINEAR': 14, 'THEOREM': 6}
[21] order5big_0168: THEOREM (60.6s)  running={'LINEAR': 14, 'THEOREM': 7}
[22] order5big_0176: THEOREM (60.2s)  running={'LINEAR': 14, 'THEOREM': 8}
[23] order5big_0184: THEOREM (60.3s)  running={'LINEAR': 14, 'THEOREM': 9}
[24] order5big_0192: THEOREM (71.7s)  running={'LINEAR': 14, 'THEOREM': 10}
[25] order5big_0200: THEOREM (72.1s)  running={'LINEAR': 14, 'THEOREM': 11}
[26] order5big_0208: THEOREM (60.5s)  running={'LINEAR': 14, 'THEOREM': 12}
[27] order5big_0216: THEOREM (60.2s)  running={'LINEAR': 14, 'THEOREM': 13}
[28] order5big_0224: THEOREM (60.3s)  running={'LINEAR': 14, 'THEOREM': 14}
[29] order5big_0232: LINEAR (0.0s)  running={'LINEAR': 15, 'THEOREM': 14}
[30] order5big_0240: THEOREM (60.2s)  running={'LINEAR': 15, 'THEOREM': 15}
[31] order5big_0248: LINEAR (0.0s)  running={'LINEAR': 16, 'THEOREM': 15}
[32] order5big_0256: THEOREM (60.2s)  running={'LINEAR': 16, 'THEOREM': 16}
[33] order5big_0264: LINEAR (0.0s)  running={'LINEAR': 17, 'THEOREM': 16}
[34] order5big_0272: THEOREM (60.2s)  running={'LINEAR': 17, 'THEOREM': 17}
[35] order5big_0280: LINEAR (0.0s)  running={'LINEAR': 18, 'THEOREM': 17}
[36] order5big_0288: SOLVED_FMB (12.7s)  running={'LINEAR': 18, 'THEOREM': 17, 'SOLVED_FMB': 1}
[37] order5big_0296: THEOREM (60.1s)  running={'LINEAR': 18, 'THEOREM': 18, 'SOLVED_FMB': 1}
[38] order5big_0304: LINEAR (0.0s)  running={'LINEAR': 19, 'THEOREM': 18, 'SOLVED_FMB': 1}
[39] order5big_0312: THEOREM (62.1s)  running={'LINEAR': 19, 'THEOREM': 19, 'SOLVED_FMB': 1}
[40] order5big_0320: LINEAR (0.0s)  running={'LINEAR': 20, 'THEOREM': 19, 'SOLVED_FMB': 1}
[41] order5big_0328: LINEAR (0.0s)  running={'LINEAR': 21, 'THEOREM': 19, 'SOLVED_FMB': 1}
[42] order5big_0336: THEOREM (60.2s)  running={'LINEAR': 21, 'THEOREM': 20, 'SOLVED_FMB': 1}
