nohup: ignoring input
[1] order5big_0006: THEOREM (60.2s)  running={'THEOREM': 1}
[2] order5big_0014: THEOREM (60.4s)  running={'THEOREM': 2}
[3] order5big_0022: THEOREM (60.2s)  running={'THEOREM': 3}
[4] order5big_0030: THEOREM (60.1s)  running={'THEOREM': 4}
[5] order5big_0038: LINEAR (0.0s)  running={'THEOREM': 4, 'LINEAR': 1}
[6] order5big_0046: THEOREM (60.2s)  running={'THEOREM': 5, 'LINEAR': 1}
[7] order5big_0054: THEOREM (60.2s)  running={'THEOREM': 6, 'LINEAR': 1}
[8] order5big_0062: LINEAR (0.0s)  running={'THEOREM': 6, 'LINEAR': 2}
[9] order5big_0070: LINEAR (0.0s)  running={'THEOREM': 6, 'LINEAR': 3}
[10] order5big_0078: LINEAR (0.0s)  running={'THEOREM': 6, 'LINEAR': 4}
[11] order5big_0086: LINEAR (0.0s)  running={'THEOREM': 6, 'LINEAR': 5}
[12] order5big_0094: THEOREM (60.2s)  running={'THEOREM': 7, 'LINEAR': 5}
[13] order5big_0102: LINEAR (0.0s)  running={'THEOREM': 7, 'LINEAR': 6}
[14] order5big_0110: THEOREM (60.3s)  running={'THEOREM': 8, 'LINEAR': 6}
[15] order5big_0118: SOLVED_FMB (11.6s)  running={'THEOREM': 8, 'LINEAR': 6, 'SOLVED_FMB': 1}
[16] order5big_0126: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 7, 'SOLVED_FMB': 1}
[17] order5big_0134: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 8, 'SOLVED_FMB': 1}
[18] order5big_0142: THEOREM (60.2s)  running={'THEOREM': 9, 'LINEAR': 8, 'SOLVED_FMB': 1}
[19] order5big_0150: LINEAR (0.0s)  running={'THEOREM': 9, 'LINEAR': 9, 'SOLVED_FMB': 1}
[20] order5big_0158: SOLVED_FMB (1.2s)  running={'THEOREM': 9, 'LINEAR': 9, 'SOLVED_FMB': 2}
[21] order5big_0166: THEOREM (60.4s)  running={'THEOREM': 10, 'LINEAR': 9, 'SOLVED_FMB': 2}
[22] order5big_0174: THEOREM (60.2s)  running={'THEOREM': 11, 'LINEAR': 9, 'SOLVED_FMB': 2}
[23] order5big_0182: THEOREM (72.7s)  running={'THEOREM': 12, 'LINEAR': 9, 'SOLVED_FMB': 2}
[24] order5big_0190: LINEAR (0.0s)  running={'THEOREM': 12, 'LINEAR': 10, 'SOLVED_FMB': 2}
