nohup: ignoring input
[1] order5big_0006: THEOREM (60.2s)  running={'THEOREM': 1}
[2] order5big_0022: THEOREM (60.2s)  running={'THEOREM': 2}
[3] order5big_0037: THEOREM (60.7s)  running={'THEOREM': 3}
[4] order5big_0055: THEOREM (60.6s)  running={'THEOREM': 4}
[5] order5big_0067: THEOREM (60.6s)  running={'THEOREM': 5}
[6] order5big_0082: THEOREM (60.2s)  running={'THEOREM': 6}
[7] order5big_0103: THEOREM (60.4s)  running={'THEOREM': 7}
[8] order5big_0120: THEOREM (60.5s)  running={'THEOREM': 8}
[9] order5big_0140: THEOREM (60.2s)  running={'THEOREM': 9}
[10] order5big_0165: THEOREM (60.8s)  running={'THEOREM': 10}
[11] order5big_0176: THEOREM (60.2s)  running={'THEOREM': 11}
[12] order5big_0192: THEOREM (72.1s)  running={'THEOREM': 12}
[13] order5big_0213: THEOREM (60.6s)  running={'THEOREM': 13}
[14] order5big_0231: THEOREM (60.2s)  running={'THEOREM': 14}
[15] order5big_0251: THEOREM (60.2s)  running={'THEOREM': 15}
[16] order5big_0267: THEOREM (60.2s)  running={'THEOREM': 16}
[17] order5big_0290: THEOREM (60.2s)  running={'THEOREM': 17}
[18] order5big_0309: THEOREM (60.5s)  running={'THEOREM': 18}
[19] order5big_0336: THEOREM (60.2s)  running={'THEOREM': 19}
[20] order5big_0348: THEOREM (60.3s)  running={'THEOREM': 20}
[21] order5big_0364: THEOREM (60.6s)  running={'THEOREM': 21}
[22] order5big_0378: THEOREM (60.2s)  running={'THEOREM': 22}
[23] order5big_0396: THEOREM (60.1s)  running={'THEOREM': 23}
[24] order5big_0411: THEOREM (65.3s)  running={'THEOREM': 24}
[25] order5big_0426: THEOREM (62.7s)  running={'THEOREM': 25}
[26] order5big_0450: THEOREM (74.1s)  running={'THEOREM': 26}
[27] order5big_0469: THEOREM (60.8s)  running={'THEOREM': 27}
[28] order5big_0485: THEOREM (60.2s)  running={'THEOREM': 28}
[29] order5big_0504: THEOREM (72.8s)  running={'THEOREM': 29}
[30] order5big_0518: THEOREM (60.2s)  running={'THEOREM': 30}
[31] order5big_0546: THEOREM (60.2s)  running={'THEOREM': 31}
[32] order5big_0568: THEOREM (60.2s)  running={'THEOREM': 32}
[33] order5big_0596: THEOREM (60.5s)  running={'THEOREM': 33}
[34] order5big_0623: THEOREM (60.5s)  running={'THEOREM': 34}
[35] order5big_0639: THEOREM (60.2s)  running={'THEOREM': 35}
[36] order5big_0659: THEOREM (60.6s)  running={'THEOREM': 36}
[37] order5big_0668: SOLVED_FMB (4.8s)  running={'THEOREM': 36, 'SOLVED_FMB': 1}
[38] order5big_0691: THEOREM (60.2s)  running={'THEOREM': 37, 'SOLVED_FMB': 1}
[39] order5big_0709: THEOREM (63.2s)  running={'THEOREM': 38, 'SOLVED_FMB': 1}
[40] order5big_0728: THEOREM (60.2s)  running={'THEOREM': 39, 'SOLVED_FMB': 1}
[41] order5big_0749: THEOREM (60.2s)  running={'THEOREM': 40, 'SOLVED_FMB': 1}
[42] order5big_0766: THEOREM (60.2s)  running={'THEOREM': 41, 'SOLVED_FMB': 1}
[43] order5big_0791: THEOREM (60.2s)  running={'THEOREM': 42, 'SOLVED_FMB': 1}
[44] order5big_0810: THEOREM (60.6s)  running={'THEOREM': 43, 'SOLVED_FMB': 1}
[45] order5big_0823: THEOREM (60.2s)  running={'THEOREM': 44, 'SOLVED_FMB': 1}
[46] order5big_0843: THEOREM (60.2s)  running={'THEOREM': 45, 'SOLVED_FMB': 1}
