nohup: ignoring input
[1] order5big_0007: LINEAR (0.0s)  running={'LINEAR': 1}
[2] order5big_0015: LINEAR (0.0s)  running={'LINEAR': 2}
[3] order5big_0023: SOLVED_FMB (41.2s)  running={'LINEAR': 2, 'SOLVED_FMB': 1}
[4] order5big_0031: LINEAR (0.0s)  running={'LINEAR': 3, 'SOLVED_FMB': 1}
[5] order5big_0039: LINEAR (0.0s)  running={'LINEAR': 4, 'SOLVED_FMB': 1}
[6] order5big_0047: THEOREM (60.2s)  running={'LINEAR': 4, 'SOLVED_FMB': 1, 'THEOREM': 1}
[7] order5big_0055: THEOREM (60.5s)  running={'LINEAR': 4, 'SOLVED_FMB': 1, 'THEOREM': 2}
[8] order5big_0063: LINEAR (0.0s)  running={'LINEAR': 5, 'SOLVED_FMB': 1, 'THEOREM': 2}
[9] order5big_0071: LINEAR (0.0s)  running={'LINEAR': 6, 'SOLVED_FMB': 1, 'THEOREM': 2}
[10] order5big_0079: LINEAR (0.0s)  running={'LINEAR': 7, 'SOLVED_FMB': 1, 'THEOREM': 2}
[11] order5big_0087: LINEAR (0.0s)  running={'LINEAR': 8, 'SOLVED_FMB': 1, 'THEOREM': 2}
[12] order5big_0095: LINEAR (0.0s)  running={'LINEAR': 9, 'SOLVED_FMB': 1, 'THEOREM': 2}
[13] order5big_0103: THEOREM (60.4s)  running={'LINEAR': 9, 'SOLVED_FMB': 1, 'THEOREM': 3}
[14] order5big_0111: THEOREM (60.2s)  running={'LINEAR': 9, 'SOLVED_FMB': 1, 'THEOREM': 4}
[15] order5big_0119: THEOREM (60.2s)  running={'LINEAR': 9, 'SOLVED_FMB': 1, 'THEOREM': 5}
[16] order5big_0127: THEOREM (60.1s)  running={'LINEAR': 9, 'SOLVED_FMB': 1, 'THEOREM': 6}
[17] order5big_0135: LINEAR (0.0s)  running={'LINEAR': 10, 'SOLVED_FMB': 1, 'THEOREM': 6}
[18] order5big_0143: LINEAR (0.0s)  running={'LINEAR': 11, 'SOLVED_FMB': 1, 'THEOREM': 6}
[19] order5big_0151: SOLVED_FMB (1.1s)  running={'LINEAR': 11, 'SOLVED_FMB': 2, 'THEOREM': 6}
[20] order5big_0159: LINEAR (0.0s)  running={'LINEAR': 12, 'SOLVED_FMB': 2, 'THEOREM': 6}
[21] order5big_0167: THEOREM (63.5s)  running={'LINEAR': 12, 'SOLVED_FMB': 2, 'THEOREM': 7}
[22] order5big_0175: THEOREM (62.2s)  running={'LINEAR': 12, 'SOLVED_FMB': 2, 'THEOREM': 8}
[23] order5big_0183: LINEAR (0.0s)  running={'LINEAR': 13, 'SOLVED_FMB': 2, 'THEOREM': 8}
[24] order5big_0191: LINEAR (0.0s)  running={'LINEAR': 14, 'SOLVED_FMB': 2, 'THEOREM': 8}
[25] order5big_0199: LINEAR (0.0s)  running={'LINEAR': 15, 'SOLVED_FMB': 2, 'THEOREM': 8}
[26] order5big_0207: LINEAR (0.0s)  running={'LINEAR': 16, 'SOLVED_FMB': 2, 'THEOREM': 8}
[27] order5big_0215: LINEAR (0.0s)  running={'LINEAR': 17, 'SOLVED_FMB': 2, 'THEOREM': 8}
[28] order5big_0223: LINEAR (0.0s)  running={'LINEAR': 18, 'SOLVED_FMB': 2, 'THEOREM': 8}
[29] order5big_0231: THEOREM (60.2s)  running={'LINEAR': 18, 'SOLVED_FMB': 2, 'THEOREM': 9}
[30] order5big_0239: LINEAR (0.0s)  running={'LINEAR': 19, 'SOLVED_FMB': 2, 'THEOREM': 9}
[31] order5big_0247: LINEAR (0.0s)  running={'LINEAR': 20, 'SOLVED_FMB': 2, 'THEOREM': 9}
